Member,Today's Catch,Days Joined,Average Catch Rate
WaterCyclone,193086,120,1609.05
Proof,170041,116,1465.8706896551723
senpai,164279,115,1428.513043478261
『爱』Richy,155650,103,1511.1650485436894
chow yun fat,129441,155,835.1032258064516
EashanRP11,84116,102,824.6666666666666
Hecate,79946,91,878.5274725274726
Yeh,75138,157,478.5859872611465
Rooshbun,72608,173,419.6994219653179
大魚大魚一直下,62468,85,734.9176470588235
ag44944,49271,101,487.83168316831683
,47701,76,627.6447368421053
BlakeM,45460,35,1298.857142857143
bobisnotme,45359,34,1334.0882352941176
Hazel,40619,67,606.2537313432836
Jolly,32897,30,1096.5666666666666
Martian,32746,37,885.027027027027
Spooted,24772,14,1769.4285714285713
Yagami [滅],19007,44,431.97727272727275
Natura HG RC OC Sqt Fqt RF Cqt,17637,173,101.94797687861272
Depths,14647,7,2092.4285714285716
Playboy,12036,7,1719.4285714285713
Cx『』,11865,6,1977.5
Aomine,10783,6,1797.1666666666667
AlisaReveN,10357,26,398.34615384615387
Dqrkness『』,8816,7,1259.4285714285713
psilocybe,5673,12,472.75
Gopi +_+,5669,7,809.8571428571429
Angel | Reindeer Eevee,5034,5,1006.8
Golden Gastly,4081,23,177.43478260869566
Sul3j,3700,4,925.0
Super Swirl,3593,24,149.70833333333334
Boss cream,3121,23,135.69565217391303
AhmedAdis,2551,4,637.75
1000 IQ Gaymers alt,1695,2,847.5
bots,1625,1,1625.0
Iced Cream,1618,19,85.15789473684211
Pokemeow,1399,0,0
Azreed,1339,1,1339.0
TheBigCone,1188,19,62.526315789473685
UmayHung,1012,1,1012.0
katsuki,792,0,0
AD,580,2,290.0
Not a contest pusher,463,22,21.045454545454547
Littman,239,0,0
Melufa,212,0,0
Zen 火,117,0,0
Ninja Aung,0,2,0.0
